Ticker,ETF_Ticker,ETF_Name,Category,Expense_Ratio,Weightage
SYF,ONEO,SPDR Russell 1000 Momentum Focus ETF,All Cap Equities,0.2,0.57
TEL,CFCV,ClearBridge Focus Value ESG ETF,Global Equities,0.49,3.46
TEL,TDV,ProShares S&P Technology Dividend Aristocrats ETF,Technology Equities,0.46,2.93
TEL,FTCS,First Trust Capital Strength ETF,Large Cap Growth Equities,0.56,2.1
TEL,LRGF,iShares MSCI USA Multifactor ETF,Large Cap Blend Equities,0.2,1.33
TEL,RNLC,First Trust Large Cap US Equity Select ETF,Large Cap Blend Equities,0.6,0.92
TEL,FVD,First Trust Value Line Dividend Index Fund,Large Cap Blend Equities,0.7,0.53
HIG,KBWP,Invesco KBW Property & Casualty Insurance ETF,Financials Equities,0.35,4.36
HIG,IAK,iShares U.S. Insurance ETF,Financials Equities,0.42,3.54
HIG,FOVL,iShares Focused Value Factor ETF,All Cap Equities,0.25,2.73
HIG,NUMV,Nuveen ESG Mid-Cap Value ETF,Mid Cap Blend Equities,0.3,1.84
HIG,RPV,Invesco S&P 500® Pure Value ETF,All Cap Equities,0.35,1.71
HIG,SPVM,Invesco S&P 500 Value with Momentum ETF,Large Cap Value Equities,0.39,1.52
TT,PKB,Invesco Dynamic Building & Construction ETF,Building & Construction ,0.6,4.66
TT,XHB,SPDR S&P Homebuilders ETF,Building & Construction ,0.35,3.61
TT,PAVE,Global X US Infrastructure Development ETF,Utilities Equities,0.47,2.9
TT,PRN,Invesco DWA Industrials Momentum ETF,Industrials Equities,0.6,2.65
TT,JEPI,JPMorgan Equity Premium Income ETF,Large Cap Blend Equities,0.35,1.37
UDR,JRE,Janus Henderson U.S. Real Estate ETF,N/A,0.65,5.54
UDR,NURE,Nuveen Short-Term REIT ETF,Real Estate,0.35,5.14
UDR,REZ,iShares Residential and Multisector Real Estate ETF,Real Estate,0.48,3.78
UDR,FPRO,Fidelity Real Estate Investment ETF,Global Real Estate,0.59,3.29
UDR,IVRA,Invesco Real Assets ESG ETF,N/A,0.59,2.9
UDR,HOMZ,Hoya Capital Housing ETF,Materials,0.3,1.61
UDR,FSMD,Fidelity Small-Mid Multifactor ETF,Small Cap Growth Equities,0.29,0.32
UNH,IHF,iShares U.S. Healthcare Providers ETF,Health & Biotech Equities,0.42,23.77
UNH,IEHS,iShares Evolved U.S. Healthcare Staples ETF,Health & Biotech Equities,0.18,12.76
UNH,PINK,Simplify Health Care ETF,Health & Biotech Equities,0.5,8.54
UNH,XLV,Health Care Select Sector SPDR Fund,Health & Biotech Equities,0.12,8.53
UNH,DIA,SPDR Dow Jones Industrial Average ETF Trust,Large Cap Growth Equities,0.16,8.39
