Ticker,Year,Total_Revenue,Cost_of_Revenue,Gross_Profit,Operating_Expense,Operating_Income,Net_Non_Operating_Interest_Income_Expense,Other_Income_Expense,Pretax_Income,Tax_Provision
ARE,2019.0,1531296.0,445492.0,1085804.0,653435.0,432369.0,-173675.0,145353.0,404047.0,
ARE,2018.0,1327459.0,381120.0,946339.0,568066.0,378273.0,-157495.0,182015.0,402793.0,
ARE,2017.0,1124511.0,325609.0,798902.0,491792.0,307110.0,-126388.0,13482.0,194204.0,
ALLE,2021.0,2885500.0,1647200.0,1238300.0,664800.0,573500.0,-48800.0,-19400.0,505300.0,41300.0
ALLE,2020.0,2719900.0,1541100.0,1178800.0,635700.0,543100.0,-50200.0,-127500.0,365400.0,50900.0
ALLE,2019.0,2854000.0,1601700.0,1252300.0,687200.0,565100.0,-54200.0,-35700.0,475200.0,73100.0
ALLE,2018.0,2731700.0,1558400.0,1173300.0,647500.0,525800.0,-53200.0,2600.0,475200.0,39800.0
ALLE,2017.0,2408200.0,1337500.0,1070700.0,582500.0,488200.0,-104500.0,12000.0,395700.0,119000.0
ALL,2021.0,51421000.0,,,,,,,8076000.0,1612000.0
ALL,2020.0,44791000.0,,,,,,,6959000.0,1383000.0
ALL,2019.0,44675000.0,,,,,,,6089000.0,1242000.0
ALL,2018.0,39815000.0,,,,,,,2744000.0,492000.0
ALL,2017.0,38524000.0,,,,,,,3991000.0,802000.0
GOOG,2021.0,239210000.0,104031000.0,135179000.0,62699000.0,72480000.0,1225000.0,11316000.0,85021000.0,14403000.0
GOOG,2020.0,182527000.0,84732000.0,97795000.0,56571000.0,41224000.0,1730000.0,5128000.0,48082000.0,7813000.0
GOOG,2019.0,161857000.0,71896000.0,89961000.0,54033000.0,35928000.0,2327000.0,1370000.0,39625000.0,5282000.0
GOOG,2018.0,136819000.0,59549000.0,77270000.0,45878000.0,31392000.0,1764000.0,1757000.0,34913000.0,4177000.0
GOOG,2017.0,110855000.0,45583000.0,65272000.0,36390000.0,28882000.0,1203000.0,-2892000.0,27193000.0,14531000.0
AMZN,2021.0,457965000.0,339933000.0,118032000.0,89740000.0,28292000.0,-1311000.0,4001000.0,30982000.0,4744000.0
AMZN,2020.0,386064000.0,291824000.0,94240000.0,71341000.0,22899000.0,-1092000.0,2371000.0,24178000.0,2863000.0
AMZN,2019.0,280522000.0,205768000.0,74754000.0,60213000.0,14541000.0,-768000.0,203000.0,13976000.0,2374000.0
